depth_m,age_ka,d18O,dD
56.43,1.178,-51.76,
56.54,1.181,-51.89,
56.65,1.184,-50.71,
56.76,1.187,-49.49,
56.87,1.189,-49.77,
56.98,1.192,-50.05,
57.09,1.195,-50.31,
57.2,1.198,-50.64,
57.31,1.201,-51.02,
57.42,1.204,-50.67,
57.53,1.206,-48.95,
57.64,1.209,-49.13,
57.75,1.212,-50.12,
57.86,1.215,-50.26,
57.97,1.218,-49.63,
58.08,1.221,-50.12,
58.19,1.224,-50.19,
58.3,1.226,-50.22,
58.41,1.229,-51.47,
58.52,1.232,-51.77,
58.63,1.235,-51.86,
58.74,1.238,-51.24,
58.85,1.241,-49.54,
58.96,1.244,-49.16,
59.07,1.247,-50.25,
59.18,1.249,-50.68,
59.29,1.252,-50.47,
59.4,1.255,-51.07,
59.51,1.258,-50.66,
59.62,1.261,-49.62,
59.73,1.264,-49.86,
59.84,1.267,-50.52,
59.95,1.27,-51.26,
60.06,1.273,-51.64,
60.17,1.276,-51.32,
60.28,1.279,-49.97,
60.39,1.282,-49.26,
60.5,1.285,-49.46,
60.61,1.288,-50.66,
60.72,1.291,-51.17,
60.83,1.294,-50.23,
60.94,1.297,-50.29,
61.05,1.3,-51.75,
61.16,1.303,-52.21,
61.27,1.306,-51.62,
61.38,1.309,-50.52,
61.49,1.312,-49.35,
61.6,1.315,-49.13,
61.71,1.318,-49.57,
61.82,1.321,-50.35,
61.93,1.324,-50.73,
62.04,1.327,-49.09,
62.15,1.33,-48.47,
62.26,1.333,-49.01,
62.37,1.337,-50.19,
62.48,1.34,-50.38,
62.59,1.343,-50.59,
62.7,1.346,-51.33,
62.81,1.349,-50.38,
62.92,1.352,-48.49,
63.03,1.355,-49.07,
63.14,1.357,-50.53,
63.25,1.36,-50.51,
63.36,1.363,-50.38,
63.47,1.366,-50.4,
63.58,1.369,-50.78,
63.69,1.372,-51.58,
63.8,1.375,-50.89,
63.91,1.378,-49.85,
64.02,1.381,-49.42,
64.13,1.384,-48.59,
64.24,1.387,-49.01,
64.35,1.39,-49.74,
64.46,1.393,-49.48,
64.57,1.396,-49.51,
64.68,1.399,-50.76,
64.79,1.402,-51.04,
64.9,1.405,-50.53,
65.01,1.408,-49.81,
65.12,1.411,-51.1,
65.23,1.414,-51.71,
65.34,1.416,-50.73,
65.45,1.419,-50.47,
65.56,1.422,-50.41,
65.67,1.425,-51.13,
65.78,1.428,-50.44,
65.89,1.431,-50.04,
66,1.434,-50.83,
66.11,1.437,-50.66,
66.22,1.44,-51.13,
66.33,1.444,-51.6,
66.44,1.447,-50.84,
66.55,1.45,-50.08,
66.66,1.453,-50.54,
66.77,1.457,-50.64,
66.88,1.46,-50.73,
66.99,1.463,-51.54,
67.1,1.466,-51.72,
67.21,1.47,-50.79,
67.32,1.473,-49.51,
67.43,1.476,-50.07,
67.54,1.479,-51.72,
67.65,1.483,-51.55,
67.76,1.486,-50.4,
67.87,1.489,-49.54,
67.98,1.492,-49.38,
68.09,1.496,-49.39,
68.2,1.499,-50.15,
68.31,1.502,-50.81,
68.42,1.505,-50.79,
68.53,1.508,-50.91,
68.64,1.512,-51.66,
68.75,1.515,-52.26,
68.86,1.518,-51.7,
68.97,1.521,-50.83,
69.08,1.524,-50.74,
69.19,1.528,-50,
69.3,1.531,-50.13,
69.41,1.534,-50.67,
69.52,1.537,-50.72,
69.63,1.54,-50.42,
69.74,1.544,-50.9,
69.85,1.547,-51.5,
69.96,1.55,-50.19,
70.07,1.553,-49.56,
70.18,1.556,-50.68,
70.29,1.56,-51.4,
70.4,1.563,-51.21,
70.51,1.566,-50.57,
70.62,1.569,-50.29,
70.73,1.572,-50.03,
70.84,1.576,-49.67,
70.95,1.579,-49.43,
71.06,1.582,-50.6,
71.17,1.585,-52.37,
71.28,1.589,-51.93,
71.39,1.592,-50.77,
71.5,1.595,-50.31,
71.61,1.598,-50.39,
71.72,1.602,-50.29,
71.83,1.605,-49.87,
71.94,1.608,-51.07,
72.05,1.611,-50.22,
72.16,1.615,-48.7,
72.27,1.618,-49.47,
72.38,1.621,-50.36,
72.49,1.624,-50.98,
72.6,1.628,-51.41,
72.71,1.631,-51.68,
72.82,1.634,-50.19,
72.93,1.638,-50.4,
73.04,1.641,-52.86,
73.15,1.644,-52.26,
73.26,1.648,-51.42,
73.37,1.651,-51.6,
73.48,1.654,-51.07,
73.59,1.658,-50.87,
73.7,1.661,-50.95,
73.81,1.664,-50.82,
73.92,1.668,-50.7,
74.03,1.671,-49.12,
74.14,1.674,-49.07,
74.25,1.678,-50.67,
74.36,1.681,-51.13,
74.47,1.684,-51.58,
74.58,1.688,-52.21,
74.69,1.691,-52.33,
74.8,1.695,-50.24,
74.91,1.698,-48.91,
75.02,1.701,-50.06,
75.13,1.705,-50.69,
75.24,1.708,-51.42,
75.35,1.711,-50.36,
75.46,1.715,-49.23,
75.57,1.718,-49.91,
75.68,1.721,-52.04,
75.79,1.725,-51.49,
75.9,1.728,-49.59,
76.01,1.731,-49.9,
76.12,1.735,-51.96,
76.23,1.738,-52.14,
76.34,1.741,-50.92,
76.45,1.745,-50.98,
76.56,1.748,-51.18,
76.67,1.752,-52.07,
76.78,1.755,-52.04,
76.89,1.758,-50.64,
77,1.762,-48.91,
77.11,1.765,-48.87,
77.22,1.768,-50.86,
77.33,1.772,-51.6,
77.44,1.775,-51.51,
77.55,1.779,-49.86,
77.66,1.782,-49.47,
77.77,1.785,-50.57,
77.88,1.789,-50.56,
77.99,1.792,-51.32,
78.1,1.795,-50.81,
78.21,1.799,-50.13,
78.32,1.802,-49.79,
78.43,1.806,-49.8,
78.54,1.809,-50.2,
78.65,1.812,-50.54,
78.76,1.816,-51.56,
78.87,1.819,-51.54,
78.98,1.823,-50.97,
79.09,1.826,-51.53,
79.2,1.829,-52.26,
79.31,1.833,-52.65,
79.42,1.836,-51.4,
79.53,1.84,-48.97,
79.64,1.843,-49.07,
79.75,1.847,-50.01,
79.86,1.85,-51.16,
79.97,1.854,-51.26,
80.08,1.857,-51.15,
80.19,1.861,-51.41,
80.3,1.864,-51.37,
80.41,1.867,-50.83,
80.52,1.871,-51.13,
80.63,1.874,-51.42,
80.74,1.878,-51.59,
80.85,1.881,-51.92,
80.96,1.885,-51.02,
81.07,1.888,-49.59,
81.18,1.891,-49.47,
81.29,1.895,-49.82,
81.4,1.898,-50.58,
81.51,1.901,-51.32,
81.62,1.904,-51.75,
81.73,1.908,-51.17,
81.84,1.911,-51.12,
81.95,1.914,-51.36,
82.06,1.918,-51.15,
82.17,1.921,-50.82,
82.28,1.924,-48.48,
82.39,1.927,-47.33,
82.5,1.931,-49.03,
82.61,1.934,-48.82,
82.72,1.937,-49.69,
82.83,1.941,-50.87,
82.94,1.944,-51.67,
83.05,1.947,-51.7,
83.16,1.951,-51.47,
83.27,1.954,-50.07,
83.38,1.957,-49.83,
83.49,1.961,-50.83,
83.6,1.964,-50.26,
83.71,1.967,-49.49,
83.82,1.971,-50.9,
83.93,1.974,-51.88,
84.04,1.977,-50.93,
84.15,1.981,-50.78,
84.26,1.984,-51.15,
84.37,1.988,-50.53,
84.48,1.991,-49.38,
84.59,1.994,-49.68,
84.7,1.998,-51.24,
84.81,2.001,-51.55,
84.92,2.005,-50.91,
85.03,2.008,-50.43,
85.14,2.011,-50.16,
85.25,2.015,-50.17,
85.36,2.018,-50.56,
85.47,2.022,-50.53,
85.58,2.025,-50.62,
85.69,2.028,-51.76,
85.8,2.032,-51.88,
85.91,2.035,-50.99,
86.02,2.039,-51.98,
86.13,2.042,-51.72,
86.24,2.046,-51.01,
86.35,2.05,-50.82,
86.46,2.053,-50.02,
86.57,2.057,-49.26,
86.68,2.06,-50.19,
86.79,2.064,-50.59,
86.9,2.067,-51.34,
87.01,2.071,-52.09,
87.12,2.074,-52.2,
87.23,2.078,-50.7,
87.34,2.081,-50.9,
87.45,2.085,-50.69,
87.56,2.088,-50.12,
87.67,2.092,-50.33,
87.78,2.095,-49.35,
87.89,2.099,-48.34,
88,2.102,-49.01,
88.11,2.106,-50.16,
88.22,2.109,-50.71,
88.33,2.113,-51.61,
88.44,2.116,-51.9,
88.55,2.119,-51.03,
88.66,2.123,-50.99,
88.77,2.126,-51.01,
88.88,2.13,-50.73,
88.99,2.133,-51.45,
89.1,2.137,-51,
89.21,2.14,-49.74,
89.32,2.144,-49.61,
89.43,2.147,-50.29,
89.54,2.151,-50.73,
89.65,2.154,-50.42,
89.76,2.157,-50.77,
89.87,2.161,-51.84,
89.98,2.164,-50.65,
90.09,2.168,-50.31,
90.2,2.171,-51.41,
90.31,2.175,-51.33,
90.42,2.178,-49.91,
90.53,2.182,-50.3,
90.64,2.185,-50.92,
90.75,2.189,-51.44,
90.86,2.192,-52.53,
90.97,2.196,-52.59,
91.08,2.2,-51.36,
91.19,2.203,-50.11,
91.3,2.207,-50.11,
91.41,2.211,-50.98,
91.52,2.214,-50.78,
91.63,2.218,-51.45,
91.74,2.222,-51.24,
91.85,2.225,-50.32,
91.96,2.229,-50.08,
92.07,2.233,-49.73,
92.18,2.236,-50.86,
92.29,2.24,-51.41,
92.4,2.244,-51.86,
92.51,2.247,-51.73,
92.62,2.25,-49.3,
92.73,2.254,-48.67,
92.84,2.257,-49.55,
92.95,2.261,-50,
93.06,2.264,-49.02,
93.17,2.267,-49.26,
93.28,2.271,-50.03,
93.39,2.274,-50.5,
93.5,2.278,-50.49,
93.61,2.281,-49.58,
93.72,2.284,-49.75,
93.83,2.288,-49.94,
93.94,2.291,-50.51,
94.05,2.295,-51.14,
94.16,2.298,-51.11,
94.27,2.302,-50.7,
94.38,2.305,-50.5,
94.49,2.309,-50.54,
94.6,2.312,-50.92,
94.71,2.315,-50.91,
94.82,2.319,-50.32,
94.93,2.322,-49.25,
95.04,2.326,-50.67,
95.15,2.329,-50.45,
95.26,2.333,-49.97,
95.37,2.336,-51.54,
95.48,2.34,-52.11,
95.59,2.343,-52.97,
95.7,2.347,-53.49,
95.81,2.351,-52.25,
95.92,2.355,-50.95,
96.03,2.359,-51.37,
96.14,2.363,-51.72,
96.25,2.367,-51.35,
96.36,2.371,-50.93,
96.47,2.375,-50.79,
96.58,2.379,-51.27,
96.69,2.383,-51.25,
96.8,2.387,-50.78,
96.91,2.391,-50.52,
97.02,2.395,-51.26,
97.13,2.399,-51.39,
97.24,2.403,-51.28,
97.35,2.407,-51.3,
97.46,2.411,-50.75,
97.57,2.415,-50.9,
97.68,2.418,-51.3,
97.79,2.422,-51.31,
97.9,2.426,-51.86,
98.01,2.43,-52.35,
98.12,2.434,-52.65,
98.23,2.437,-52.35,
98.34,2.441,-51.82,
